country_name,country_code,year,gini_ratio,gdp_growth
Australia,AUS,01/01/2002,..,4.003022284
Australia,AUS,01/01/2003,33.5,2.985744905
Australia,AUS,01/01/2004,..,4.00110552
Australia,AUS,01/01/2005,..,3.19031634
Australia,AUS,01/01/2006,..,2.834232512
Australia,AUS,01/01/2007,..,3.77732903
Australia,AUS,01/01/2008,35.4,3.65776676
Australia,AUS,01/01/2009,..,1.922727293
Australia,AUS,01/01/2010,34.7,2.052942004
Australia,AUS,01/01/2011,..,2.451105083
Australia,AUS,01/01/2012,..,3.891940026
Australia,AUS,01/01/2013,..,2.639482357
Australia,AUS,01/01/2014,..,2.558337523
Australia,AUS,01/01/2015,..,2.351136441
Australia,AUS,01/01/2016,..,2.827310511
Austria,AUT,01/01/2002,..,1.651549407
Austria,AUT,01/01/2003,29.5,0.941473312
Austria,AUT,01/01/2004,29.8,2.735118518
Austria,AUT,01/01/2005,28.7,2.244066812
Austria,AUT,01/01/2006,29.6,3.454041032
Austria,AUT,01/01/2007,30.6,3.727415176
Austria,AUT,01/01/2008,30.4,1.460425193
Austria,AUT,01/01/2009,31.5,-3.764580483
Austria,AUT,01/01/2010,30.3,1.837094592
Austria,AUT,01/01/2011,30.8,2.922797636
Austria,AUT,01/01/2012,30.5,0.680444374
Austria,AUT,01/01/2013,30.8,0.025504101
Austria,AUT,01/01/2014,30.5,0.828733875
Austria,AUT,01/01/2015,30.5,1.091854232
Austria,AUT,01/01/2016,..,1.450915438
Belgium,BEL,01/01/2002,..,1.780506301
Belgium,BEL,01/01/2003,28.1,0.774567233
Belgium,BEL,01/01/2004,30.5,3.634680672
Belgium,BEL,01/01/2005,29.3,2.094272708
Belgium,BEL,01/01/2006,28.1,2.506140115
Belgium,BEL,01/01/2007,29.2,3.448973792
Belgium,BEL,01/01/2008,28.4,0.783173038
Belgium,BEL,01/01/2009,28.5,-2.253174635
Belgium,BEL,01/01/2010,28.4,2.744213272
Belgium,BEL,01/01/2011,28.1,1.798302659
Belgium,BEL,01/01/2012,27.5,0.234796924
Belgium,BEL,01/01/2013,27.7,0.200650444
Belgium,BEL,01/01/2014,28.1,1.293265235
Belgium,BEL,01/01/2015,27.7,1.426956809
Belgium,BEL,01/01/2016,..,1.412292015
Canada,CAN,01/01/2002,..,3.010016308
Canada,CAN,01/01/2003,..,1.802273312
Canada,CAN,01/01/2004,33.7,3.085961209
