country,iso3,region,date, gdp_pc , rol_index , pop 
Zimbabwe,ZWE,Africa,20130101, 3,615 , 0.3548 , 13,555,422 
Zambia,ZMB,Africa,20130101, 3,573 , 0.4560 , 15,234,976 
Viet Nam,VNM,Asia,20130101, 8,352 , 0.4851 , 90,267,739 
Uzbekistan,UZB,Asia,20130101, 6,049 , 0.4279 , 30,243,200 
Uruguay,URY,Americas,20130101, 27,912 , 0.6837 , 3,381,180 
United States,USA,Americas,20130101, 62,113 , 0.7340 , 316,059,947 
United Kingdom,GBR,Europe,20130101, 49,839 , 0.7825 , 64,128,273 
United Arab Emirates,ARE,Asia,20130101, 61,362 , 0.6394 , 8,751,847 
Ukraine,UKR,Europe,20130101, 18,140 , 0.4560 , 45,489,648 
Uganda,UGA,Africa,20130101, 2,425 , 0.4192 , 35,273,570 
Turkiye,TUR,Asia,20130101, 23,983 , 0.5163 , 76,147,624 
Tunisia,TUN,Africa,20130101, 12,301 , 0.5665 , 11,300,284 
Thailand,THA,Asia,20130101, 18,312 , 0.5335 , 69,578,602 
Tanzania,TZA,Africa,20130101, 2,899 , 0.4886 , 49,253,643 
Sweden,SWE,Europe,20130101, 56,707 , 0.8899 , 9,600,379 
Sri Lanka,LKA,Asia,20130101, 11,933 , 0.5460 , 21,131,756 
Spain,ESP,Europe,20130101, 40,278 , 0.7281 , 46,620,045 
South Africa,ZAF,Africa,20130101, 14,895 , 0.5647 , 53,873,616 
Slovenia,SVN,Europe,20130101, 37,376 , 0.6560 , 2,059,953 
Singapore,SGP,Asia,20130101, 103,908 , 0.8031 , 5,399,162 
Sierra Leone,SLE,Africa,20130101, 1,926 , 0.4593 , 6,964,859 
Senegal,SEN,Africa,20130101, 3,414 , 0.5448 , 13,595,566 
Russian Federation,RUS,Europe,20130101, 36,629 , 0.4259 , 143,805,638 
Romania,ROU,Europe,20130101, 27,109 , 0.6055 , 19,983,693 
Portugal,PRT,Europe,20130101, 34,640 , 0.6642 , 10,457,295 
Poland,POL,Europe,20130101, 29,516 , 0.7156 , 38,040,196 
Philippines,PHL,Asia,20130101, 7,184 , 0.4950 , 99,700,107 
Peru,PER,Americas,20130101, 13,951 , 0.5147 , 30,038,809 
Panama,PAN,Americas,20130101, 27,979 , 0.5225 , 3,821,556 
