data;series; value 
2000;City;0,318
2001;City;0,34
2002;City;0,305
2003;City;0,369
2004;City;0,365
2005;City;0,36
2006;City;0,386
2007;City;0,359
2008;City;0,265
2009;City;0,339
2010;City;0,431
2011;City;0,439
2012;City;0,399
2013;City;0,453
2014;City;0,404
2015;City;0,372
2016;City;0,367
2017;City;0,402
2018;City;0,299
2019;City;0,348
2020;City;0,335
2021;City;0,345
2022;City;0,328
2023;City;0,274
2000;Village;0,377
2001;Village;0,344
2002;Village;0,386
2003;Village;0,393
2004;Village;0,403
2005;Village;0,288
2006;Village;0,288
2007;Village;0,326
2008;Village;0,282
2009;Village;0,2818
2010;Village;0,2695
2011;Village;0,2573
2012;Village;0,245
2013;Village;0,2328
2014;Village;0,2205
2015;Village;0,2083
2016;Village;0,196
2017;Village;0,1838
2018;Village;0,1715
2019;Village;0,1593
2020;Village;0,147
2021;Village;0,1348
2022;Village;0,1225
2023;Village;0,1103
