year,commodity,commodity_price,total_exports
1990,Crude oil,22.87916667,28982531183
1991,Crude oil,19.37083333,33063806609
1992,Crude oil,19.02083333,38801726176
1993,Crude oil,16.84166667,42274397859
1994,Crude oil,15.88666667,46896633114
1995,Crude oil,17.18333333,53185312942
1996,Crude oil,20.42,58717201042
1997,Crude oil,19.17104272,60106038404
1998,Crude oil,13.06444167,50555726235
1999,Crude oil,18.07138889,49720260590
2000,Crude oil,28.22971944,67621169166
2001,Crude oil,24.351825,62625875834
2002,Crude oil,24.92774838,63956798805
2003,Crude oil,28.89890319,71553141045
2004,Crude oil,37.7333877,82744351781
2005,Crude oil,53.3910246,97387627566
2006,Crude oil,64.28825914,1.13143E+11
2007,Crude oil,71.11655901,1.27226E+11
2008,Crude oil,96.99045376,1.5209E+11
2009,Crude oil,61.75692222,1.30358E+11
2010,Crude oil,79.04077178,1.83481E+11
2011,Crude oil,104.0093975,2.35095E+11
2012,Crude oil,105.0096289,2.25744E+11
2013,Crude oil,104.0774975,2.18308E+11
2014,Crude oil,96.235,2.1082E+11
2015,Crude oil,50.75277778,1.82158E+11
2016,Crude oil,42.81194444,1.77886E+11
2017,Crude oil,52.805,2.04924E+11
2018,Crude oil,68.3475,2.18906E+11
2019,Crude oil,61.4075,2.08058E+11
2020,Crude oil,41.25777778,1.83547E+11
2021,Crude oil,69.07055556,2.5411E+11
2022,Crude oil,97.10138889,3.23223E+11
2023,Crude oil,80.75569444,
1990,Coal,39.66666667,28982531183
1991,Coal,39.66666667,33063806609
1992,Coal,38.5625,38801726176
1993,Coal,31.33333333,42274397859
1994,Coal,32.3,46896633114
1995,Coal,39.37166667,53185312942
1996,Coal,38.07416667,58717201042
1997,Coal,35.09916667,60106038404
1998,Coal,29.23083333,50555726235
1999,Coal,25.89166667,49720260590
2000,Coal,26.25,67621169166
2001,Coal,32.3125,62625875834
2002,Coal,25.309375,63956798805
2003,Coal,26.090625,71553141045
2004,Coal,52.94791667,82744351781
2005,Coal,47.62090278,97387627566
2006,Coal,49.08958333,1.13143E+11
2007,Coal,65.733125,1.27226E+11
2008,Coal,127.1041667,1.5209E+11
2009,Coal,71.84416667,1.30358E+11
2010,Coal,98.96604167,1.83481E+11
2011,Coal,121.4483333,2.35095E+11
2012,Coal,96.36416667,2.25744E+11
2013,Coal,84.56216919,2.18308E+11
2014,Coal,70.13,2.1082E+11
2015,Coal,58.93916667,1.82158E+11
2016,Coal,66.12333333,1.77886E+11
2017,Coal,88.51833333,2.04924E+11
2018,Coal,107.0225,2.18906E+11
2019,Coal,77.88583333,2.08058E+11
2020,Coal,60.785,1.83547E+11
2021,Coal,138.05,2.5411E+11
2022,Coal,344.8933333,3.23223E+11
2023,Coal,172.7791667,
1990,Natural gas,1.698333333,28982531183
1991,Natural gas,1.486666667,33063806609
1992,Natural gas,1.771666667,38801726176
1993,Natural gas,2.120833333,42274397859
1994,Natural gas,1.92,46896633114
1995,Natural gas,1.7225,53185312942
1996,Natural gas,2.734166667,58717201042
1997,Natural gas,2.48175,60106038404
1998,Natural gas,2.086916667,50555726235
1999,Natural gas,2.266666667,49720260590
2000,Natural gas,4.308333333,67621169166
2001,Natural gas,3.955833333,62625875834
2002,Natural gas,3.355,63956798805
2003,Natural gas,5.491982667,71553141045
2004,Natural gas,5.894867134,82744351781
2005,Natural gas,8.915672827,97387627566
2006,Natural gas,6.719543094,1.13143E+11
2007,Natural gas,6.981950687,1.27226E+11
2008,Natural gas,8.857202411,1.5209E+11
2009,Natural gas,3.950291667,1.30358E+11
2010,Natural gas,4.38525377,1.83481E+11
2011,Natural gas,3.998578553,2.35095E+11
2012,Natural gas,2.752041667,2.25744E+11
2013,Natural gas,3.723983333,2.18308E+11
2014,Natural gas,4.369491667,2.1082E+11
2015,Natural gas,2.613708333,1.82158E+11
2016,Natural gas,2.492216667,1.77886E+11
2017,Natural gas,2.961075,2.04924E+11
2018,Natural gas,3.159725,2.18906E+11
2019,Natural gas,2.565883333,2.08058E+11
2020,Natural gas,2.014375,1.83547E+11
2021,Natural gas,3.851408333,2.5411E+11
2022,Natural gas,6.368316667,3.23223E+11
2023,Natural gas,2.537808333,
1990,Rubber,,28982531183
1991,Rubber,,33063806609
1992,Rubber,,38801726176
1993,Rubber,,42274397859
1994,Rubber,,46896633114
1995,Rubber,,53185312942
1996,Rubber,,58717201042
1997,Rubber,,60106038404
1998,Rubber,,50555726235
1999,Rubber,0.591075,49720260590
2000,Rubber,0.629216667,67621169166
2001,Rubber,0.515266667,62625875834
2002,Rubber,0.751533333,63956798805
