year;commodity;commodity_price;total_exports
1990;Crude oil ($/bbl);22.87916667;28982531183
1991;Crude oil ($/bbl);19.37083333;33063806609
1992;Crude oil ($/bbl);19.02083333;38801726176
1993;Crude oil ($/bbl);16.84166667;42274397859
1994;Crude oil ($/bbl);15.88666667;46896633114
1995;Crude oil ($/bbl);17.18333333;53185312942
1996;Crude oil ($/bbl);20.42;58717201042
1997;Crude oil ($/bbl);19.17104272;60106038404
1998;Crude oil ($/bbl);13.06444167;50555726235
1999;Crude oil ($/bbl);18.07138889;49720260590
2000;Crude oil ($/bbl);28.22971944;67621169166
2001;Crude oil ($/bbl);24.351825;62625875834
2002;Crude oil ($/bbl);24.92774838;63956798805
2003;Crude oil ($/bbl);28.89890319;71553141045
2004;Crude oil ($/bbl);37.7333877;82744351781
2005;Crude oil ($/bbl);53.3910246;97387627566
2006;Crude oil ($/bbl);64.28825914;113143000000
2007;Crude oil ($/bbl);71.11655901;127226000000
2008;Crude oil ($/bbl);96.99045376;152090000000
2009;Crude oil ($/bbl);61.75692222;130358000000
2010;Crude oil ($/bbl);79.04077178;183481000000
2011;Crude oil ($/bbl);104.0093975;235095000000
2012;Crude oil ($/bbl);105.0096289;225744000000
2013;Crude oil ($/bbl);104.0774975;218308000000
2014;Crude oil ($/bbl);96.235;210820000000
2015;Crude oil ($/bbl);50.75277778;182158000000
2016;Crude oil ($/bbl);42.81194444;177886000000
2017;Crude oil ($/bbl);52.805;204924000000
2018;Crude oil ($/bbl);68.3475;218906000000
2019;Crude oil ($/bbl);61.4075;208058000000
2020;Crude oil ($/bbl);41.25777778;183547000000
2021;Crude oil ($/bbl);69.07055556;254110000000
1990;Coal ($/mt);39.66666667;28982531183
1991;Coal ($/mt);39.66666667;33063806609
1992;Coal ($/mt);38.5625;38801726176
1993;Coal ($/mt);31.33333333;42274397859
1994;Coal ($/mt);32.3;46896633114
1995;Coal ($/mt);39.37166667;53185312942
1996;Coal ($/mt);38.07416667;58717201042
1997;Coal ($/mt);35.09916667;60106038404
1998;Coal ($/mt);29.23083333;50555726235
1999;Coal ($/mt);25.89166667;49720260590
2000;Coal ($/mt);26.25;67621169166
2001;Coal ($/mt);32.3125;62625875834
2002;Coal ($/mt);25.309375;63956798805
2003;Coal ($/mt);26.090625;71553141045
2004;Coal ($/mt);52.94791667;82744351781
2005;Coal ($/mt);47.62090278;97387627566
2006;Coal ($/mt);49.08958333;113143000000
2007;Coal ($/mt);65.733125;127226000000
2008;Coal ($/mt);127.1041667;152090000000
2009;Coal ($/mt);71.84416667;130358000000
2010;Coal ($/mt);98.96604167;183481000000
2011;Coal ($/mt);121.4483333;235095000000
2012;Coal ($/mt);96.36416667;225744000000
2013;Coal ($/mt);84.56216919;218308000000
2014;Coal ($/mt);70.13;210820000000
2015;Coal ($/mt);58.93916667;182158000000
2016;Coal ($/mt);66.12333333;177886000000
2017;Coal ($/mt);88.51833333;204924000000
2018;Coal ($/mt);107.0225;218906000000
2019;Coal ($/mt);77.88583333;208058000000
2020;Coal ($/mt);60.785;183547000000
2021;Coal ($/mt);138.05;254110000000
1990;Natural gas ($/0.1mmbtu);16.98333333;28982531183
1991;Natural gas ($/0.1mmbtu);14.86666667;33063806609
1992;Natural gas ($/0.1mmbtu);17.71666667;38801726176
