year;commodity;commodity_price;total_imports
1990;Crude oil ($/bbl);22.87916667;27157275247
1991;Crude oil ($/bbl);19.37083333;30891188671
1992;Crude oil ($/bbl);19.02083333;34720875700
1993;Crude oil ($/bbl);16.84166667;37555937063
1994;Crude oil ($/bbl);15.88666667;44869883142
1995;Crude oil ($/bbl);17.18333333;55882279824
1996;Crude oil ($/bbl);20.42;60116979038
1997;Crude oil ($/bbl);19.17104272;60700151259
1998;Crude oil ($/bbl);13.06444167;41249712042
1999;Crude oil ($/bbl);18.07138889;38402067922
2000;Crude oil ($/bbl);28.22971944;50264686470
2001;Crude oil ($/bbl);24.351825;49355195402
2002;Crude oil ($/bbl);24.92774838;51638437161
2003;Crude oil ($/bbl);28.89890319;54323622341
2004;Crude oil ($/bbl);37.7333877;70744690514
2005;Crude oil ($/bbl);53.3910246;85533801154
2006;Crude oil ($/bbl);64.28825914;93411754076
2007;Crude oil ($/bbl);71.11655901;1.09755E+11
2008;Crude oil ($/bbl);96.99045376;1.46707E+11
2009;Crude oil ($/bbl);61.75692222;1.15217E+11
2010;Crude oil ($/bbl);79.04077178;1.69158E+11
2011;Crude oil ($/bbl);104.0093975;2.12997E+11
2012;Crude oil ($/bbl);105.0096289;2.29362E+11
2013;Crude oil ($/bbl);104.0774975;2.25519E+11
2014;Crude oil ($/bbl);96.235;2.17485E+11
2015;Crude oil ($/bbl);50.75277778;1.78864E+11
2016;Crude oil ($/bbl);42.81194444;1.70835E+11
2017;Crude oil ($/bbl);52.805;1.94777E+11
2018;Crude oil ($/bbl);68.3475;2.30046E+11
2019;Crude oil ($/bbl);61.4075;2.13035E+11
2020;Crude oil ($/bbl);41.25777778;1.65647E+11
2021;Crude oil ($/bbl);69.07055556;2.22924E+11
1990;Natural gas ($/0.1mmbtu);16.98333333;27157275247
1991;Natural gas ($/0.1mmbtu);14.86666667;30891188671
1992;Natural gas ($/0.1mmbtu);17.71666667;34720875700
1993;Natural gas ($/0.1mmbtu);21.20833333;37555937063
1994;Natural gas ($/0.1mmbtu);19.2;44869883142
1995;Natural gas ($/0.1mmbtu);17.225;55882279824
1996;Natural gas ($/0.1mmbtu);27.34166667;60116979038
1997;Natural gas ($/0.1mmbtu);24.8175;60700151259
1998;Natural gas ($/0.1mmbtu);20.86916667;41249712042
1999;Natural gas ($/0.1mmbtu);22.66666667;38402067922
2000;Natural gas ($/0.1mmbtu);43.08333333;50264686470
2001;Natural gas ($/0.1mmbtu);39.55833333;49355195402
2002;Natural gas ($/0.1mmbtu);33.55;51638437161
2003;Natural gas ($/0.1mmbtu);54.91982667;54323622341
2004;Natural gas ($/0.1mmbtu);58.94867134;70744690514
2005;Natural gas ($/0.1mmbtu);89.15672827;85533801154
2006;Natural gas ($/0.1mmbtu);67.19543094;93411754076
2007;Natural gas ($/0.1mmbtu);69.81950687;1.09755E+11
2008;Natural gas ($/0.1mmbtu);88.57202411;1.46707E+11
2009;Natural gas ($/0.1mmbtu);39.50291667;1.15217E+11
2010;Natural gas ($/0.1mmbtu);43.8525377;1.69158E+11
2011;Natural gas ($/0.1mmbtu);39.98578553;2.12997E+11
2012;Natural gas ($/0.1mmbtu);27.52041667;2.29362E+11
2013;Natural gas ($/0.1mmbtu);37.23983333;2.25519E+11
2014;Natural gas ($/0.1mmbtu);43.69491667;2.17485E+11
2015;Natural gas ($/0.1mmbtu);26.13708333;1.78864E+11
2016;Natural gas ($/0.1mmbtu);24.92216667;1.70835E+11
2017;Natural gas ($/0.1mmbtu);29.61075;1.94777E+11
2018;Natural gas ($/0.1mmbtu);31.59725;2.30046E+11
2019;Natural gas ($/0.1mmbtu);25.65883333;2.13035E+11
2020;Natural gas ($/0.1mmbtu);20.14375;1.65647E+11
2021;Natural gas ($/0.1mmbtu);38.51408333;2.22924E+11
1990;Wheat ($/10mt);13.55225;27157275247
1991;Wheat ($/10mt);12.8665;30891188671
1992;Wheat ($/10mt);15.12;34720875700
1993;Wheat ($/10mt);14.02383333;37555937063
1994;Wheat ($/10mt);14.97291667;44869883142
1995;Wheat ($/10mt);17.69825;55882279824
1996;Wheat ($/10mt);20.76;60116979038
1997;Wheat ($/10mt);15.94841667;60700151259
1998;Wheat ($/10mt);12.61266667;41249712042
1999;Wheat ($/10mt);11.20425;38402067922
2000;Wheat ($/10mt);11.40875;50264686470
2001;Wheat ($/10mt);12.68083333;49355195402
2002;Wheat ($/10mt);14.80775;51638437161
2003;Wheat ($/10mt);14.61431;54323622341
2004;Wheat ($/10mt);15.68816801;70744690514
2005;Wheat ($/10mt);15.23505937;85533801154
2006;Wheat ($/10mt);19.20433567;93411754076
2007;Wheat ($/10mt);25.52061105;1.09755E+11
2008;Wheat ($/10mt);32.60300462;1.46707E+11
2009;Wheat ($/10mt);22.40698817;1.15217E+11
2010;Wheat ($/10mt);22.35821054;1.69158E+11
2011;Wheat ($/10mt);31.62641326;2.12997E+11
2012;Wheat ($/10mt);31.32422696;2.29362E+11
2013;Wheat ($/10mt);31.22478669;2.25519E+11
2014;Wheat ($/10mt);28.48859214;2.17485E+11
2015;Wheat ($/10mt);20.44491286;1.78864E+11
2016;Wheat ($/10mt);16.66325435;1.70835E+11
2017;Wheat ($/10mt);17.41956155;1.94777E+11
2018;Wheat ($/10mt);20.99288346;2.30046E+11
2019;Wheat ($/10mt);20.16921286;2.13035E+11
2020;Wheat ($/10mt);23.1565488;1.65647E+11
2021;Wheat ($/10mt);31.52375;2.22924E+11
