year,commodity,commodity_price,trade_balance
1990,Crude oil ($/bbl),22.87916667,1825255936
1991,Crude oil ($/bbl),19.37083333,2172617938
1992,Crude oil ($/bbl),19.02083333,4080850477
1993,Crude oil ($/bbl),16.84166667,4718460796
1994,Crude oil ($/bbl),15.88666667,2026749971
1995,Crude oil ($/bbl),17.18333333,-2696966882
1996,Crude oil ($/bbl),20.42,-1399777996
1997,Crude oil ($/bbl),19.17104272,-594112855.5
1998,Crude oil ($/bbl),13.06444167,9306014193
1999,Crude oil ($/bbl),18.07138889,11318192667
2000,Crude oil ($/bbl),28.22971944,17356482696
2001,Crude oil ($/bbl),24.351825,13270680432
2002,Crude oil ($/bbl),24.92774838,12318361644
2003,Crude oil ($/bbl),28.89890319,17229518703
2004,Crude oil ($/bbl),37.7333877,11999661267
2005,Crude oil ($/bbl),53.3910246,11853826412
2006,Crude oil ($/bbl),64.28825914,19731671212
2007,Crude oil ($/bbl),71.11655901,17471008752
2008,Crude oil ($/bbl),96.99045376,5383772873
2009,Crude oil ($/bbl),61.75692222,15141253737
2010,Crude oil ($/bbl),79.04077178,14322535350
2011,Crude oil ($/bbl),104.0093975,22098243865
2012,Crude oil ($/bbl),105.0096289,-3617699112
2013,Crude oil ($/bbl),104.0774975,-7210947472
2014,Crude oil ($/bbl),96.235,-6665132938
2015,Crude oil ($/bbl),50.75277778,3294646496
2016,Crude oil ($/bbl),42.81194444,7051011915
2017,Crude oil ($/bbl),52.805,10147166714
2018,Crude oil ($/bbl),68.3475,-11139964498
2019,Crude oil ($/bbl),61.4075,-4976882676
2020,Crude oil ($/bbl),41.25777778,17899733716
2021,Crude oil ($/bbl),69.07055556,31185663098
1990,Coal ($/mt),39.66666667,1825255936
1991,Coal ($/mt),39.66666667,2172617938
1992,Coal ($/mt),38.5625,4080850477
1993,Coal ($/mt),31.33333333,4718460796
1994,Coal ($/mt),32.3,2026749971
1995,Coal ($/mt),39.37166667,-2696966882
1996,Coal ($/mt),38.07416667,-1399777996
1997,Coal ($/mt),35.09916667,-594112855.5
1998,Coal ($/mt),29.23083333,9306014193
1999,Coal ($/mt),25.89166667,11318192667
2000,Coal ($/mt),26.25,17356482696
2001,Coal ($/mt),32.3125,13270680432
2002,Coal ($/mt),25.309375,12318361644
2003,Coal ($/mt),26.090625,17229518703
2004,Coal ($/mt),52.94791667,11999661267
2005,Coal ($/mt),47.62090278,11853826412
2006,Coal ($/mt),49.08958333,19731671212
2007,Coal ($/mt),65.733125,17471008752
2008,Coal ($/mt),127.1041667,5383772873
2009,Coal ($/mt),71.84416667,15141253737
2010,Coal ($/mt),98.96604167,14322535350
2011,Coal ($/mt),121.4483333,22098243865
2012,Coal ($/mt),96.36416667,-3617699112
2013,Coal ($/mt),84.56216919,-7210947472
2014,Coal ($/mt),70.13,-6665132938
2015,Coal ($/mt),58.93916667,3294646496
2016,Coal ($/mt),66.12333333,7051011915
2017,Coal ($/mt),88.51833333,10147166714
2018,Coal ($/mt),107.0225,-11139964498
2019,Coal ($/mt),77.88583333,-4976882676
2020,Coal ($/mt),60.785,17899733716
2021,Coal ($/mt),138.05,31185663098
1990,Natural gas ($/0.1mmbtu),16.98333333,1825255936
1991,Natural gas ($/0.1mmbtu),14.86666667,2172617938
1992,Natural gas ($/0.1mmbtu),17.71666667,4080850477
1993,Natural gas ($/0.1mmbtu),21.20833333,4718460796
1994,Natural gas ($/0.1mmbtu),19.2,2026749971
1995,Natural gas ($/0.1mmbtu),17.225,-2696966882
1996,Natural gas ($/0.1mmbtu),27.34166667,-1399777996
1997,Natural gas ($/0.1mmbtu),24.8175,-594112855.5
1998,Natural gas ($/0.1mmbtu),20.86916667,9306014193
1999,Natural gas ($/0.1mmbtu),22.66666667,11318192667
2000,Natural gas ($/0.1mmbtu),43.08333333,17356482696
2001,Natural gas ($/0.1mmbtu),39.55833333,13270680432
2002,Natural gas ($/0.1mmbtu),33.55,12318361644
2003,Natural gas ($/0.1mmbtu),54.91982667,17229518703
2004,Natural gas ($/0.1mmbtu),58.94867134,11999661267
2005,Natural gas ($/0.1mmbtu),89.15672827,11853826412
2006,Natural gas ($/0.1mmbtu),67.19543094,19731671212
2007,Natural gas ($/0.1mmbtu),69.81950687,17471008752
2008,Natural gas ($/0.1mmbtu),88.57202411,5383772873
2009,Natural gas ($/0.1mmbtu),39.50291667,15141253737
2010,Natural gas ($/0.1mmbtu),43.8525377,14322535350
2011,Natural gas ($/0.1mmbtu),39.98578553,22098243865
2012,Natural gas ($/0.1mmbtu),27.52041667,-3617699112
2013,Natural gas ($/0.1mmbtu),37.23983333,-7210947472
2014,Natural gas ($/0.1mmbtu),43.69491667,-6665132938
2015,Natural gas ($/0.1mmbtu),26.13708333,3294646496
2016,Natural gas ($/0.1mmbtu),24.92216667,7051011915
2017,Natural gas ($/0.1mmbtu),29.61075,10147166714
2018,Natural gas ($/0.1mmbtu),31.59725,-11139964498
2019,Natural gas ($/0.1mmbtu),25.65883333,-4976882676
2020,Natural gas ($/0.1mmbtu),20.14375,17899733716
2021,Natural gas ($/0.1mmbtu),38.51408333,31185663098
1990,Rubber ($/0.1kg),,1825255936
1991,Rubber ($/0.1kg),,2172617938
1992,Rubber ($/0.1kg),,4080850477
1993,Rubber ($/0.1kg),,4718460796
1994,Rubber ($/0.1kg),,2026749971
1995,Rubber ($/0.1kg),,-2696966882
1996,Rubber ($/0.1kg),,-1399777996
1997,Rubber ($/0.1kg),,-594112855.5
1998,Rubber ($/0.1kg),,9306014193
1999,Rubber ($/0.1kg),5.91075,11318192667
2000,Rubber ($/0.1kg),6.29216667,17356482696
2001,Rubber ($/0.1kg),5.15266667,13270680432
2002,Rubber ($/0.1kg),7.51533333,12318361644
2003,Rubber ($/0.1kg),10.04075,17229518703
2004,Rubber ($/0.1kg),12.066,11999661267
2005,Rubber ($/0.1kg),13.86358333,11853826412
2006,Rubber ($/0.1kg),19.46066667,19731671212
2007,Rubber ($/0.1kg),21.55658333,17471008752
2008,Rubber ($/0.1kg),25.29991667,5383772873
2009,Rubber ($/0.1kg),18.00185417,15141253737
2010,Rubber ($/0.1kg),33.80770839,14322535350
2011,Rubber ($/0.1kg),45.19009083,22098243865
2012,Rubber ($/0.1kg),31.55761028,-3617699112
2013,Rubber ($/0.1kg),25.16933333,-7210947472
2014,Rubber ($/0.1kg),17.13916667,-6665132938
2015,Rubber ($/0.1kg),13.65816667,3294646496
2016,Rubber ($/0.1kg),13.81125,7051011915
2017,Rubber ($/0.1kg),16.66858333,10147166714
2018,Rubber ($/0.1kg),13.67833333,-11139964498
2019,Rubber ($/0.1kg),14.10441667,-4976882676
2020,Rubber ($/0.1kg),13.3055,17899733716
2021,Rubber ($/0.1kg),16.79308333,31185663098
1990,Copper ($/100mt),26.614825,1825255936
1991,Copper ($/100mt),23.387825,2172617938
1992,Copper ($/100mt),22.811575,4080850477
1993,Copper ($/100mt),19.13076667,4718460796
1994,Copper ($/100mt),23.074175,2026749971
1995,Copper ($/100mt),29.35605833,-2696966882
1996,Copper ($/100mt),22.94856667,-1399777996
1997,Copper ($/100mt),22.76766667,-594112855.5
1998,Copper ($/100mt),16.54058333,9306014193
1999,Copper ($/100mt),15.72860833,11318192667
2000,Copper ($/100mt),18.13469167,17356482696
2001,Copper ($/100mt),15.78288333,13270680432
2002,Copper ($/100mt),15.594775,12318361644
2003,Copper ($/100mt),17.79144833,17229518703
2004,Copper ($/100mt),28.65884917,11999661267
2005,Copper ($/100mt),36.78876417,11853826412
2006,Copper ($/100mt),67.221345,19731671212
2007,Copper ($/100mt),71.18226,17471008752
2008,Copper ($/100mt),69.55879833,5383772873
2009,Copper ($/100mt),51.49738583,15141253737
2010,Copper ($/100mt),75.34779583,14322535350
2011,Copper ($/100mt),88.281875,22098243865
2012,Copper ($/100mt),79.62347063,-3617699112
2013,Copper ($/100mt),73.32100477,-7210947472
2014,Copper ($/100mt),68.633975,-6665132938
2015,Copper ($/100mt),55.10456667,3294646496
2016,Copper ($/100mt),48.678975,7051011915
2017,Copper ($/100mt),61.6994,10147166714
2018,Copper ($/100mt),65.29798333,-11139964498
2019,Copper ($/100mt),60.10145,-4976882676
2020,Copper ($/100mt),61.73770833,17899733716
2021,Copper ($/100mt),93.1705,31185663098
1990,Palm oil ($/10mt),28.975,1825255936
1991,Palm oil ($/10mt),33.9,2172617938
1992,Palm oil ($/10mt),39.35,4080850477
1993,Palm oil ($/10mt),37.775,4718460796
1994,Palm oil ($/10mt),52.84166667,2026749971
1995,Palm oil ($/10mt),62.825,-2696966882
1996,Palm oil ($/10mt),53.09166667,-1399777996
1997,Palm oil ($/10mt),54.58333333,-594112855.5
1998,Palm oil ($/10mt),67.10833333,9306014193
1999,Palm oil ($/10mt),43.6,11318192667
2000,Palm oil ($/10mt),31.025,17356482696
2001,Palm oil ($/10mt),28.74583333,13270680432
2002,Palm oil ($/10mt),41.0895,12318361644
2003,Palm oil ($/10mt),47.67033333,17229518703
2004,Palm oil ($/10mt),49.92808333,11999661267
2005,Palm oil ($/10mt),45.05641667,11853826412
2006,Palm oil ($/10mt),50.82991667,19731671212
2007,Palm oil ($/10mt),81.66866667,17471008752
2008,Palm oil ($/10mt),104.2923333,5383772873
2009,Palm oil ($/10mt),74.11458333,15141253737
2010,Palm oil ($/10mt),93.30233333,14322535350
2011,Palm oil ($/10mt),119.337,22098243865
2012,Palm oil ($/10mt),104.33975,-3617699112
2013,Palm oil ($/10mt),87.07258333,-7210947472
2014,Palm oil ($/10mt),83.74691667,-6665132938
2015,Palm oil ($/10mt),66.33908333,3294646496
2016,Palm oil ($/10mt),73.57033333,7051011915
2017,Palm oil ($/10mt),75.08133333,10147166714
2018,Palm oil ($/10mt),63.86558333,-11139964498
2019,Palm oil ($/10mt),60.13666667,-4976882676
2020,Palm oil ($/10mt),75.17661576,17899733716
2021,Palm oil ($/10mt),113.0576667,31185663098
