Year,HS Description,export Percentage
2011-01-01 00:00:00,Coal,12.5%
2012-01-01 00:00:00,Coal,12.8%
2013-01-01 00:00:00,Coal,12.5%
2014-01-01 00:00:00,Coal,10.6%
2015-01-01 00:00:00,Coal,9.8%
2016-01-01 00:00:00,Coal,8.9%
2017-01-01 00:00:00,Coal,10.6%
2018-01-01 00:00:00,Coal,11.4%
2019-01-01 00:00:00,Coal,11.3%
2020-01-01 00:00:00,Coal,8.9%
2021-01-01 00:00:00,Coal,11.5%
2022-01-01 00:00:00,Coal,16.0%
2011-01-01 00:00:00,Palm oil,8.5%
2012-01-01 00:00:00,Palm oil,9.3%
2013-01-01 00:00:00,Palm oil,8.7%
2014-01-01 00:00:00,Palm oil,9.9%
2015-01-01 00:00:00,Palm oil,10.2%
2016-01-01 00:00:00,Palm oil,9.9%
2017-01-01 00:00:00,Palm oil,11.0%
2018-01-01 00:00:00,Palm oil,9.2%
2019-01-01 00:00:00,Palm oil,8.8%
2020-01-01 00:00:00,Palm oil,10.6%
2021-01-01 00:00:00,Palm oil,11.5%
2022-01-01 00:00:00,Palm oil,9.5%
2011-01-01 00:00:00,Petroleum gases,11.2%
2012-01-01 00:00:00,Petroleum gases,10.8%
2013-01-01 00:00:00,Petroleum gases,9.9%
2014-01-01 00:00:00,Petroleum gases,9.8%
2015-01-01 00:00:00,Petroleum gases,6.9%
2016-01-01 00:00:00,Petroleum gases,4.9%
2017-01-01 00:00:00,Petroleum gases,5.2%
2018-01-01 00:00:00,Petroleum gases,5.9%
2019-01-01 00:00:00,Petroleum gases,4.9%
2020-01-01 00:00:00,Petroleum gases,3.3%
2021-01-01 00:00:00,Petroleum gases,3.2%
2022-01-01 00:00:00,Petroleum gases,3.4%
2011-01-01 00:00:00,Copper,2.3%
2012-01-01 00:00:00,Copper,1.4%
2013-01-01 00:00:00,Copper,1.6%
2014-01-01 00:00:00,Copper,1.0%
2015-01-01 00:00:00,Copper,2.2%
2016-01-01 00:00:00,Copper,2.4%
2017-01-01 00:00:00,Copper,2.0%
2018-01-01 00:00:00,Copper,2.3%
2019-01-01 00:00:00,Copper,0.8%
2020-01-01 00:00:00,Copper,1.5%
2021-01-01 00:00:00,Copper,2.3%
2022-01-01 00:00:00,Copper,3.2%
2011-01-01 00:00:00,Rubber,5.8%
2012-01-01 00:00:00,Rubber,4.1%
2013-01-01 00:00:00,Rubber,3.8%
2014-01-01 00:00:00,Rubber,2.7%
2015-01-01 00:00:00,Rubber,2.5%
2016-01-01 00:00:00,Rubber,2.3%
2017-01-01 00:00:00,Rubber,3.0%
2018-01-01 00:00:00,Rubber,2.2%
2019-01-01 00:00:00,Rubber,2.1%
2020-01-01 00:00:00,Rubber,1.8%
2021-01-01 00:00:00,Rubber,1.7%
2022-01-01 00:00:00,Rubber,1.2%
"2011-01-01 00:00:00,""Petroleum oils, crude"",6.8%"
"2012-01-01 00:00:00,""Petroleum oils, crude"",6.5%"
"2013-01-01 00:00:00,""Petroleum oils, crude"",5.6%"
"2014-01-01 00:00:00,""Petroleum oils, crude"",5.3%"
"2015-01-01 00:00:00,""Petroleum oils, crude"",4.3%"
"2016-01-01 00:00:00,""Petroleum oils, crude"",3.6%"
"2017-01-01 00:00:00,""Petroleum oils, crude"",3.2%"
"2018-01-01 00:00:00,""Petroleum oils, crude"",2.8%"
"2019-01-01 00:00:00,""Petroleum oils, crude"",1.0%"
"2020-01-01 00:00:00,""Petroleum oils, crude"",0.9%"
"2021-01-01 00:00:00,""Petroleum oils, crude"",1.2%"
"2022-01-01 00:00:00,""Petroleum oils, crude"",0.5%"
