year,Indonesia,India
2000,19812444591.0,4046493485.0
2001,17699645735.0,3339419630.0
2002,16454422619.0,3926639922.0
2003,17831751167.0,4042945025.0
2004,22043716969.0,4809689088.0
2005,24955394908.0,6133767189.0
2006,27247896310.0,7547688300.0
2007,30159463767.0,9096215180.0
2008,42873028682.0,11408620003.0
2009,28418459182.0,9904544263.0
2010,42747614440.0,13070162797.0
2011,53151307788.0,16810871233.0
2012,52902938152.0,18778517023.0
2013,46370846855.0,17815300214.0
2014,40134667472.0,15720876957.0
2015,31284400563.0,14164875680.0
2016,29086319043.0,13635813824.0
2017,33038837247.927,14967173504.679
2018,37456603385.84,17277748135.147
2019,31665092985.643997,17560064873.728
2020,24336782790.264,14250136189.625
2021,32499696088.892,20489401737.455
2022,42022032688.0,21449427595.388
