country,iso3,region,date, gdp_pc , rol_index , pop ,epi
Zimbabwe,ZWE,Africa,2014-01-01, 3,588.86 , 0.34 , 13,855,753 ,49.54
Zambia,ZMB,Africa,2014-01-01, 3,621.47 , 0.47 , 15,737,793 ,41.72
Viet Nam,VNM,Asia,2014-01-01, 8,794.48 , 0.48 , 91,235,504 ,38.17
Uzbekistan,UZB,Asia,2014-01-01, 6,356.89 , 0.45 , 30,757,700 ,43.23
Uruguay,URY,Americas,2014-01-01, 28,726.73 , 0.69 , 3,391,662 ,53.61
United States,USA,Americas,2014-01-01, 63,214.90 , 0.71 , 318,386,329 ,67.52
United Kingdom,GBR,Europe,2014-01-01, 51,054.59 , 0.78 , 64,602,298 ,77.35
United Arab Emirates,ARE,Asia,2014-01-01, 63,309.31 , 0.65 , 8,835,951 ,72.91
Ukraine,UKR,Europe,2014-01-01, 17,255.29 , 0.47 , 45,272,155 ,49.01
Uganda,UGA,Africa,2014-01-01, 2,474.52 , 0.41 , 36,336,539 ,39.18
Turkiye,TUR,Asia,2014-01-01, 24,830.58 , 0.50 , 77,181,884 ,54.91
Tunisia,TUN,Africa,2014-01-01, 12,538.20 , 0.55 , 11,428,948 ,58.99
Thailand,THA,Asia,2014-01-01, 18,390.86 , 0.52 , 69,960,943 ,52.83
Tanzania,TZA,Africa,2014-01-01, 2,999.98 , 0.47 , 50,814,552 ,36.19
Sweden,SWE,Europe,2014-01-01, 57,639.77 , 0.85 , 9,696,110 ,78.09
Sri Lanka,LKA,Asia,2014-01-01, 12,629.48 , 0.52 , 21,239,457 ,53.88
Spain,ESP,Europe,2014-01-01, 40,962.02 , 0.67 , 46,480,882 ,79.79
South Africa,ZAF,Africa,2014-01-01, 14,869.05 , 0.55 , 54,729,551 ,53.51
Slovenia,SVN,Europe,2014-01-01, 38,373.11 , 0.65 , 2,061,980 ,76.43
Singapore,SGP,Asia,2014-01-01, 106,604.49 , 0.79 , 5,469,724 ,81.78
Sierra Leone,SLE,Africa,2014-01-01, 1,963.99 , 0.44 , 7,140,688 ,21.74
Senegal,SEN,Africa,2014-01-01, 3,529.35 , 0.54 , 13,970,308 ,40.83
Russian Federation,RUS,Europe,2014-01-01, 36,217.96 , 0.45 , 144,237,223 ,53.45
Romania,ROU,Europe,2014-01-01, 28,331.53 , 0.59 , 19,908,979 ,50.52
Portugal,PRT,Europe,2014-01-01, 35,102.80 , 0.66 , 10,401,062 ,75.8
Poland,POL,Europe,2014-01-01, 30,671.43 , 0.67 , 38,011,735 ,69.53
Philippines,PHL,Asia,2014-01-01, 7,517.26 , 0.50 , 101,325,201 ,44.02
Peru,PER,Americas,2014-01-01, 14,135.33 , 0.49 , 30,353,951 ,45.05
Panama,PAN,Americas,2014-01-01, 28,887.86 , 0.50 , 3,888,793 ,56.84
Pakistan,PAK,Asia,2014-01-01, 4,650.75 , 0.36 , 208,251,628 ,34.58
Norway,NOR,Europe,2014-01-01, 85,044.75 , 0.88 , 5,137,232 ,78.04
North Macedonia,MKD,Europe,2014-01-01, 18,641.61 , 0.58 , 1,917,557 ,50.41
Nigeria,NGA,Africa,2014-01-01, 6,197.49 , 0.39 , 179,379,016 ,39.2
Nicaragua,NIC,Americas,2014-01-01, 6,504.70 , 0.43 , 6,208,676 ,50.32
New Zealand,NZL,Oceania,2014-01-01, 44,440.12 , 0.83 , 4,516,500 ,76.41
Netherlands,NLD,Europe,2014-01-01, 61,615.59 , 0.83 , 16,865,008 ,77.75
Nepal,NPL,Asia,2014-01-01, 3,649.46 , 0.50 , 27,462,106 ,37
Morocco,MAR,Africa,2014-01-01, 7,938.92 , 0.51 , 34,248,603 ,51.89
Mongolia,MNG,Asia,2014-01-01, 14,233.02 , 0.51 , 2,902,823 ,44.67
Moldova,MDA,Europe,2014-01-01, 11,641.12 , 0.45 , 2,857,815 ,53.36
Mexico,MEX,Americas,2014-01-01, 21,545.65 , 0.45 , 118,755,887 ,55.03
Malaysia,MYS,Asia,2014-01-01, 26,905.05 , 0.58 , 30,606,459 ,59.31
Malawi,MWI,Africa,2014-01-01, 1,670.22 , 0.51 , 16,477,966 ,40.06
Madagascar,MDG,Africa,2014-01-01, 1,662.84 , 0.45 , 24,215,976 ,26.7
Liberia,LBR,Africa,2014-01-01, 1,767.53 , 0.42 , 4,519,398 ,23.95
Lebanon,LBN,Asia,2014-01-01, 15,381.94 , 0.51 , 6,274,342 ,50.15
Kyrgyz Republic,KGZ,Asia,2014-01-01, 5,580.22 , 0.45 , 5,835,500 ,40.63
