Country;iso3; Rule of Law Index 
Afghanistan;AFG;0.318
Albania;ALB;0.484
Algeria;DZA;0.489
Angola;AGO;0.425
Antigua and Barbuda;ATG;0.635
Argentina;ARG;0.546
Australia;AUS;0.798
Austria;AUT;0.8
The Bahamas;BHS;0.593
Bangladesh;BGD;0.385
Barbados;BRB;0.658
Belarus;BLR;0.452
Belgium;BEL;0.784
Belize;BLZ;0.492
Benin;BEN;0.484
Bolivia;BOL;0.374
Bosnia and Herzegovina;BIH;0.514
Botswana;BWA;0.593
Brazil;BRA;0.49
Bulgaria;BGR;0.556
Burkina Faso;BFA;0.474
Cambodia;KHM;0.311
Cameroon;CMR;0.354
Canada;CAN;0.8
Chile;CHL;0.662
China;CHN;0.467
Colombia;COL;0.482
Congo. Dem. Rep.;COD;0.345
Congo. Rep.;COG;0.401
Costa Rica;CRI;0.682
Cote d'Ivoire;CIV;0.449
Croatia;HRV;0.614
Cyprus;CYP;0.677
Czechia;CZE;0.733
Denmark;DNK;0.899
Dominica;DMA;0.578
Dominican Republic;DOM;0.488
Ecuador;ECU;0.472
Egypt. Arab Rep.;EGY;0.348
El Salvador;SLV;0.446
Estonia;EST;0.817
Ethiopia;ETH;0.381
Finland;FIN;0.875
France;FRA;0.728
Gabon;GAB;0.392
The Gambia;GMB;0.488
Georgia;GEO;0.604
Germany;DEU;0.834
Ghana;GHA;0.549
Greece;GRC;0.605
Grenada;GRD;0.602
Guatemala;GTM;0.438
Guinea;GIN;0.413
Guyana;GUY;0.501
Haiti;HTI;0.34
Honduras;HND;0.412
Hungary;HUN;0.515
India;IND;0.494
Indonesia;IDN;0.532
Iran. Islamic Rep.;IRN;0.386
Ireland;IRL;0.812
Italy;ITA;0.666
Jamaica;JAM;0.574
Japan;JPN;0.786
Jordan;JOR;0.548
Kazakhstan;KAZ;0.534
Kenya;KEN;0.456
Korea. Rep.;KOR;0.736
Kuwait;KWT;0.584
Kyrgyz Republic;KGZ;0.454
Latvia;LVA;0.727
Lebanon;LBN;0.447
Liberia;LBR;0.437
Lithuania;LTU;0.768
Luxembourg;LUX;0.833
Madagascar;MDG;0.43
Malawi;MWI;0.522
Malaysia;MYS;0.57
Mali;MLI;0.402
Malta;MLT;0.68
Mauritania;MRT;0.361
Mauritius;MUS;0.609
Mexico;MEX;0.417
Moldova;MDA;0.529
Mongolia;MNG;0.534
Montenegro;MNE;0.564
Morocco;MAR;0.484
Mozambique;MOZ;0.384
Myanmar;MMR;0.349
Namibia;NAM;0.615
Nepal;NPL;0.516
Netherlands;NLD;0.832
New Zealand;NZL;0.825
Nicaragua;NIC;0.346
Niger;NER;0.44
Nigeria;NGA;0.411
North Macedonia;MKD;0.529
Norway;NOR;0.892
Pakistan;PAK;0.377
Panama;PAN;0.514
Paraguay;PRY;0.463
Peru;PER;0.486
Philippines;PHL;0.46
Poland;POL;0.639
Portugal;PRT;0.683
Romania;ROU;0.63
Russian Federation;RUS;0.436
Rwanda;RWA;0.629
Senegal;SEN;0.554
Serbia;SRB;0.482
Sierra Leone;SLE;0.439
Singapore;SGP;0.776
Slovak Republic;SVK;0.659
Slovenia;SVN;0.688
South Africa;ZAF;0.569
Spain;ESP;0.721
Sri Lanka;LKA;0.499
St. Lucia;LCA;0.617
St. Vincent and the Grenadines;VCT;0.625
Sudan;SDN;0.362
Suriname;SUR;0.492
Sweden;SWE;0.854
Tanzania;TZA;0.465
Thailand;THA;0.49
Togo;TGO;0.454
Trinidad and Tobago;TTO;0.518
Tunisia;TUN;0.515
Turkiye;TUR;0.414
Uganda;UGA;0.391
Ukraine;UKR;0.485
United Arab Emirates;ARE;0.635
United Kingdom;GBR;0.784
United States;USA;0.703
Uruguay;URY;0.717
Uzbekistan;UZB;0.496
Venezuela. RB;VEN;0.264
Vietnam;VNM;0.486
Zambia;ZMB;0.45
Zimbabwe;ZWE;0.397
